Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
"Street, Berlin",Ernst Ludwig Kirchner,(German),(Male),-1880,-1938,2017(,**Painting & Sculpture**,2015-01-05T00:00:00
The Song of the Shirt,David Wark Griffith,(American),(Male),-1874,-1948,2021,**Film**,2015-01-06T00:00:00
Architecture Panoramas,Jan Dibbets,(Dutch),(Male),-1941,,2018S,**Photography**,2015-01-08T00:00:00
Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,(Polish),(Male),-1893,-1952,2021C,**Prints & Illustrated Books**,2015-01-07T00:00:00
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,(German),(Male),-1928,-2003,2021,**Architecture & Design**,2015-01-07T00:00:00
Hospital Event Label,George Maciunas,(American),(Male),-1931,-1978,2021,**Prints & Illustrated Books**,2015-01-07T00:00:00
"Washington, D.C.",Lee Friedlander,(American),(Male),-1934,,1994(,**Photography**,2015-01-07T00:00:00
Deeparture,Mircea Cantor,(Romanian),(Male),-1977,,2021),**Media and Performance Art**,2015-01-07T00:00:00
Programy skolskeho rozhlasu,Augustin Tschinkel,(Czech),(Male),-1905,,2021C,**Architecture & Design**,2015-01-07T00:00:00
Plate (folio 19) from KAFKA,Roger Chancel,(French),(Male),-1898,-1976,2021,**Prints & Illustrated Books**,2015-01-07T00:00:00
Lassaw at Kootz Gallery,Elaine Lustig Cohen,(American),(Female),-1927,-2016,2021C,**Architecture & Design**,2015-01-07T00:00:00
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,(American),(Female),-1946,,2021c,**Photography**,2015-01-07T00:00:00
"View from Hotel Window--Butte, Montana",Robert Frank,(American),(Male),-1924,,2021),**Photography**,2015-01-07T00:00:00
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,(American),(Male),-1885,-1930,2021C,**Prints & Illustrated Books**,2015-01-07T00:00:00
UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,(American),(Male),-1933,-1988,2018(,**Drawings**,2015-01-07T00:00:00
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,(American),(Male),-1923,-2002,2021,**Prints & Illustrated Books**,2015-01-07T00:00:00
